Name,Short,Korean Name,Gender,Debut,Company,Members,Orig Memb,Fanclub Name,Active
AREAL,,에이리얼,Female,21/08/2020,JZ Factory,4,4,,No
ARGON,,아르곤,Male,11/03/2019,MSH,6,6,A-Rang,Yes
Ariaz,,아리아즈,Female,23/10/2019,Rising Star,6,6,,No
ARTBEAT,,아트비트,Female,16/11/2022,AB Creative,7,7,,Yes
ASTRO,,아스트로,Male,23/02/2016,Fantagio,4,6,AROHA,Yes
ATBO,,에이티비오,Male,27/07/2022,IST,7,7,BOAT,Yes
ATEEZ,,에이티즈,Male,24/10/2018,KQ,8,8,,Yes
AWEEK,,어위크,Male,31/01/2019,Illusion,7,7,,Yes
B.A.P,BAP,비에이피,Male,27/01/2012,TS,6,6,BABY,No
B.Heart,,비하트,Male,25/01/2017,Poong,4,4,,Yes
B.I.G,,비아이지,Male,9/07/2014,GH,4,5,,Yes
B.O.Y,,비오브유,Male,20/01/2020,Music Works,2,2,,Yes
B1A4,,비원에이포,Male,19/04/2010,WM,5,5,BANA,Yes
Baby V.O.X,,베이비복스,Female,5/07/1997,DR Music,5,5,,No
BABYMONSTER,,베이비몬스터,Female,,YG,7,7,,Pre-Debut
Badkiz,,배드키즈,Female,24/03/2014,Zoo,5,5,,No
BAE173,,비에이이173,Male,19/11/2020,PocketDol,9,9,,Yes
Be.A,,비에이,Male,25/05/2017,Chrome,3,5,,Yes
Beatwin,,비트윈,Male,6/01/2014,Elen,2,6,,Hiatus
Berry Good,,베리굿,Female,21/05/2014,Asia Bridge,6,5,,No
BESTie,,베스티,Female,11/07/2013,YNB,4,4,BESTiny,No
BIGBANG,,빅뱅,Male,19/08/2006,YG,4,5,VIP,Yes
Bigflo,,빅플로,Male,19/07/2014,HO,5,5,,Yes
BIGSTAR,,빅스타,Male,12/07/2012,Brave,5,5,,No
Billlie,,빌리,Female,10/11/2021,MYSTIC,7,6,,Yes
Black Level,,블랙 레벨,Male,26/02/2022,VT,2,6,WE.B,Hiatus
BLACK6IX,,블랙식스,Male,7/04/2017,BLACK HOLE,6,6,,Yes
BLACKPINK,,블랙핑크,Female,8/08/2016,YG,4,4,,Yes
BlackSwan,,블랙스완,Female,16/10/2020,DR,5,5,,Yes
Blady,,블레이디,Female,16/05/2011,Star Planet,5,4,Hi ade,No
Blanc7,,블랑세븐,Male,3/03/2017,Jackpot,7,7,Prism,No
BLANK2Y,,블랭키,Male,24/05/2022,Keystone,9,9,,Yes
Blastar,,블레스타,Female,31/07/2020,VH,5,5,,No
Bling Bling,,블링블링,Female,17/11/2020,Major9,6,6,,Yes
BLITZERS,,블리처스,Male,12/05/2021,Wuzo,7,7,,Yes
BLK,,비엘케이,Male,28/11/2017,Byking,7,7,,No
Block B,,블락비,Male,15/04/2011,KQ,7,7,BBC,Yes
Bloomy,,블루미,Female,1/02/2016,DS,4,4,,Yes
Bob Girls,,단발머리,Female,10/06/2014,Chrome,4,4,,No
Bolbbalgan4,BOL4,볼빨간사춘기,Female,22/04/2016,Shofar,1,2,,Yes
Bonus Baby,,보너스베이비,Female,1/01/2017,Maroo,6,6,,No
BOTOPASS,,보토패스,Female,26/08/2020,WKS ENE,8,8,,Yes
Boyfriend,,보이프렌드,Male,26/05/2011,Starship,6,6,Bestfriend,No
BOYNEXTDOOR,,보이넥스트도어,Male,30/05/2023,KOZ,6,6,,Yes
Boys Republic,,소년공화국,Male,3/06/2013,Happy Tribe| Universal,5,5,Royal Family,Hiatus
Brave Girls,,브레이브걸스,Female,8/04/2011,Brave,4,5,,Yes
Brown Eyed Girls,B.E.G.,브라운 아이드 걸스,Female,2/03/2006,Mystic,4,4,Everlasting,Yes
BtoB,,비투비,Male,21/03/2012,Cube,6,7,Melody,Yes
BTS,Bangtan Boys,방탄소년단,Male,13/06/2013,Big Hit,7,7,ARMY,Yes
bugAboo,,버가부,Female,25/10/2021,A team,6,6,,No
Bulldok,,불독,Female,20/10/2016,Kconic,5,3,,No
Busters,,버스터즈,Female,27/11/2017,JTG,5,5,Bu-Chu,Yes
BVNDIT,,밴디트,Female,10/04/2019,MNH,5,5,,Yes
BXB,,비엑스비,Male,30/01/2023,Wolfburn,5,5,,Yes
BXK,Boys X King,비엑스케이,Male,2/11/2020,New Planet,6,6,,Yes
Camila,,카밀라,Female,29/08/2018,Camila,3,3,,No
C-Clown,,씨클라운,Male,19/06/2012,Yedang,6,6,Crown,No
Cherry Bullet,,체리블렛,Female,21/01/2019,FNC,7,10,,Yes
Cherry On Top,,체리온탑,Female,9/08/2018,United,4,4,,No
ChoColat,,쇼콜라,Female,16/08/2011,Paramount,5,5,Chocolatier,No
CICI,,씨씨,Male,27/06/2019,UPVOTE,4,4,,No
cignature,,시그니처,Female,4/02/2020,C9,7,7,,Yes
Ciipher,,싸이퍼,Male,15/03/2021,Rain,7,7,,Yes
CIX,,씨아이엑스,Male,23/07/2019,C9,5,5,,Yes
CLASS:y,,클래씨,Female,5/05/2022,Universal,7,7,,Yes
CLC,,씨엘씨,Female,19/03/2015,Cube,5,5,Chesire,Hiatus
CMDM,,커맨더맨,Male,27/04/2023,Command the M,6,6,,Yes
CNBLUE,,씨엔블루,Male,14/01/2010,FNC,4,4,Boice,Yes
CoCoSoRi,,코코소리,Female,5/01/2016,MOLE,2,2,,No
CRAVITY,,크래비티,Male,14/04/2020,Starship,9,9,,Yes
CRAXY,,크랙시,Female,3/03/2020,SAITEINMENT,5,5,,Yes
Crayon Pop,,크레용팝,Female,18/07/2012,Chrome,4,5,,No
C-REAL,,씨리얼,Female,11/10/2011,NAP,3,5,,No
CROSS GENE,,크로스진,Male,8/07/2012,Amuse,5,6,Chromosome,Yes
