Name,Short,Korean Name,Gender,Debut,Company,Members,Orig Memb,Fanclub Name,Active
Hotshot,,핫샷,Male,29/10/2014,Star Crew,5,6,,No
I.C.E,,아이스,Female,16/11/2015,HS,3,4,,Yes
ICHILLIN',,아이칠린,Female,8/09/2021,KM,7,7,,Yes
ICU,,아이씨유,Female,22/10/2019,Liz,5,5,,Yes
iKON,,아이콘,Male,15/09/2015,YG,6,7,iKONIC,Yes
ILUV,I LUV,아이러브,Female,30/04/2019,WKS ENE,7,7,,No
ILY:1,,아일리원,Female,4/04/2022,FC ENM,6,6,,Yes
Imfact,,임팩트,Male,27/01/2016,Star Empire,5,5,,Yes
Infinite,,인피니트,Male,9/06/2010,Woollim,6,7,Inspirit,Yes
INX,,인엑스,Male,2/08/2016,NA,5,5,,No
IOI,I.O.I,아이오아이,Female,4/05/2016,YMC,11,11,,No
IRRIS,,아이리스,Female,6/07/2022,Mellow,4,4,,Yes
ITZY,,있지,Female,12/02/2019,JYP,5,5,Mitzy,Yes
IVE,,아이브,Female,1/12/2021,Starship,6,6,DIVE,Yes
IZ,,아이즈,Male,31/08/2017,Music K,4,4,,Yes
IZ*ONE,IZONE,아이즈원,Female,29/10/2018,Off The Record,12,12,,No
JBJ,,제이비제이,Male,18/10/2017,Fave,6,6,,No
JBJ95,,제이비제이95,Male,30/10/2018,Hunus,2,2,,Yes
Jewelry,,쥬얼리,Female,30/03/2001,Star Empire,4,4,,No
JJCC,,제이제이씨씨,Male,13/03/2014,Jackie Chan Group,5,6,,No
JUST B,,저스트비,Male,30/06/2021,Bluedot,6,6,ONLY B,Yes
Jwiiver,,제이위버,Male,17/02/2022,JTG,7,7,,Yes
JYJ,,제이와이제이,Male,8/09/2010,C-JeS,3,3,Cassiopeia,Yes
KARA,,카라,Female,29/03/2007,DSP,5,5,Kamilia,Yes
KEEMBO,,킴보,Female,10/04/2020,ARA-LINE,2,2,,Yes
Kep1er,,케플러,Female,1/03/2022,WakeOne,9,9,,Yes
KHAN,,칸,Female,23/05/2018,Maroo,2,2,,No
Kingdom,,킹덤,Male,18/02/2021,GF,7,8,Kingmakers,Yes
Kitten Girls,,키튼걸스,Female,4/09/2018,Wannabe,4,4,,No
K-Much,,케이머치,Male,7/01/2014,Chrome,4,5,,No
KNK,,크나큰,Male,3/03/2016,YNB,5,5,Tinker Bell,Yes
Laboum,,라붐,Female,27/08/2014,NH,4,6,Latte,Yes
